,collector,corpus,date,genre,idnumber,location,motifs,storytype,tradition
573,Islam,DIVERSEN.20E,2000-10-08 00:00:00,mop,DIVER004,Amsterdam (Noord-Holland),J2213.1,ATU 1289,email
574,Ate Doornbosch,LIEDMARIE,1963-11-30 00:00:00,lied,Lied0005,Rilland-Bath (Zeeland),C611;S62.1,ATU 0312,mondeling
575,Will D. Scheepers (1913-1990),LIEDMARIE,1964-01-20 00:00:00,lied,Lied0006,Amsterdam (Noord-Holland),C611;C920;S62.1,ATU 0312,mondeling
576,Theo Meder,LOMBOK03.20E,2000-11-05 00:00:00,mop,LOMBO682,"Utrecht (Utrecht, wijk: Lombok)",N531.1,ATU 1645,mondeling
577,Theo Meder,LOMBOK03.20,2000-11-05 00:00:00,mop,LOMBO687,"Utrecht (Utrecht, wijk: Lombok)",J1611,ATU 1373,mondeling
578,Peter Fasol,FASOL21E,1898-01-01 00:00:00,lied,FASOL01,Valkenswaard (Noord-Brabant),J121.2,ATU 0980,mondeling
579,Theo Meder,LOMBOK03.20E,2000-11-30 00:00:00,sprookje,LOMBO690,"Utrecht (Utrecht, wijk: Lombok)",F54,ATU 1960G,mondeling
580,Theo Meder,LOMBOK03.20E,2000-12-01 00:00:00,mop,LOMBO695,"Utrecht (Utrecht, wijk: Lombok)",J2133.4,ATU 1240,almanak
581,,DIVTEXT3.20E,2000-12-01 00:00:00,broodjeaapverhaal,DIVTX649,,N211.1,ATU 0736A,tijdschriftartikel
582,Peter de Greef en Arnold Vonk,DIVTEXT3.20E,2001-01-19 00:00:00,mop,DIVTX659,Amsterdam (Noord-Holland),K187,ATU 1610,krant
583,Peter de Greef en Arnold Vonk,DIVTEXT3.20E,2001-01-19 00:00:00,mop,DIVTX660,,Z17,ATU 2013,krant
584,Houkje Hovinga - Van der Meer,DIVTEXT3.20E,2001-02-06 00:00:00,sprookje,DIVTX690,St.-Annaparochie (Friesland),F1025;K1161;B296,ATU 0210,brief
585,A.A. Jaarsma,JAARSMA.20E,1967-12-02 00:00:00,sage,CJ028209,Hamersveld (Utrecht),N384.10,ATU 1676,mondeling
586,A.A. Jaarsma,JAARSMA.20E,1967-12-02 00:00:00,mop,CJ028214,Hamersveld (Utrecht),J1934,ATU 1255,mondeling
587,A.A. Jaarsma,JAARSMA.20E,1967-12-02 00:00:00,sprookje,CJ028215,Hamersveld (Utrecht),B481.1;B457.1;B362,ATU 0240A*,mondeling
588,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV001,Liemers (Gelderland),B316;B184.1.6;S211;D672,ATU 0314,boek
589,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV004,Liemers (Gelderland),D791.1.7,ATU 0307,boek
590,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV005,Liemers (Gelderland),D861.5;D840,ATU 0560,boek
591,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV006,Liemers (Gelderland),D861.5;D840,ATU 0560,boek
592,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV007,Liemers (Gelderland),B322.1;Q262;K963;L161;H80;R111.2.1;F451.5.2,ATU 0301,boek
593,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV008,Liemers (Gelderland),B322.1;H1385.1;Q262;K963;L161;F92;R111.2.1;F451.5.2,ATU 0301,boek
594,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV009,Liemers (Gelderland),J2661.2,ATU 1680,boek
595,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV010,Liemers (Gelderland),J2661.2,ATU 1680,boek
596,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV011,Liemers (Gelderland),B215.4;K512.2,ATU 0671,boek
597,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV013,Liemers (Gelderland),K912,ATU 0304,boek
598,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV016,Liemers (Gelderland),K1331,ATU 0853A,boek
599,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV017,Liemers (Gelderland),K1331,ATU 0853A,boek
600,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,mop,TINNEV018,Liemers (Gelderland),K187,ATU 1610,boek
601,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV019,Liemers (Gelderland),H583.5,ATU 0921,boek
602,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV020,Liemers (Gelderland),H583.3,ATU 0921,boek
603,A. Tinneveld,tinneveld.20E,1944-01-01 00:00:00,sprookje,TINNEV021,Liemers (Gelderland),H542,ATU 0927,boek
604,A. Tinneveld,tinneveld.20E,,mop,TINNEV123,Didam (Gelderland),J1269.12,ATU 1562A,boek
605,A. Tinneveld,tinneveld.20E,,mop,TINNEV124,Didam (Gelderland),K1132,ATU 0791,boek
606,A. Tinneveld,tinneveld.20E,,mop,TINNEV126,Didam (Gelderland),X424,ATU 1791,boek
607,A. Tinneveld,tinneveld.20E,,sprookje,TINNEV129,Didam (Gelderland),H585.1,ATU 0921A,boek
608,A. Tinneveld,tinneveld.20E,,mop,TINNEV131,Didam (Gelderland),K316,ATU 1624B*,boek
609,A. Tinneveld,tinneveld.20E,,mop,TINNEV133,Didam (Gelderland),K111.2;K911.1,ATU 1539,boek
